,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing_folding
0,8.0,1.6270205467239716,4.152880662296245,0.0,10.6,2.107559358288769,0.35,0.0,179.8504247436831,415.8151777883028,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024357318393272986,0.28558,11.724607585655718,2.674071643892061,0.7169913151239607,0.07202953488288005,0.0899286583306887,0.14973841776374006,0.07298233965604015,2.674071643892061,3.0,0.0,0.32445024755522794,3.0,1,1,Titan,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,0.27,V-tail,yes,yes
1,9.0,1.523742106724309,4.167812377813704,0.0,11.4,2.2032,0.35,0.0,169.45081177343002,369.53296289598205,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022590720485916434,0.28746,12.724693759953741,2.6075912982296834,0.7000559138733486,0.07561858643500426,0.097397408091618,0.14996615633639818,0.07675551549019302,2.6075912982296834,3.0,0.0,0.30662082317918643,3.0,1,1,Titan,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,0.27,V-tail,yes,yes
2,10.0,1.6106016114738422,4.43275756837444,0.0,12.2,2.2988406417112297,0.35,0.0,173.4588120052639,380.66442269595086,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022115569600750118,0.28996,13.111125113872948,2.626896106337247,0.7049736781856464,0.0772586267186769,0.10486598634048591,0.1455611401329264,0.07851626105704396,2.626896106337247,3.0,0.0,0.3119032224750542,3.0,1,1,Titan,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,0.27,V-tail,yes,yes
3,14.0,1.423404820618064,4.681926338326799,0.0,15.4,2.68140320855615,0.35,0.0,166.67052714990788,324.65416340906785,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020446621185169083,0.30251,14.795109532298913,2.491462340011732,0.7474387020035196,0.0738440626959545,0.1347391317730396,0.15065792882991202,0.07632702228249323,1.8623957537766334,2.0,0.0,0.28407908232723994,3.0,1,1,Titan,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,166.67052714990788,0.27,V-tail,yes,yes
4,15.0,1.4062465361613699,4.772964894676494,0.0,16.200000000000003,2.77704385026738,0.35,0.0,164.79205086447953,311.3495856815372,LowAcc,45.0,119068.04349397456,119068.04349397456,0.019602484676187904,0.30275,15.444470688339077,2.4701486879602887,0.7410446063880866,0.0747649609658781,0.1422072147105958,0.14999263106083438,0.07754250496965291,1.845662297807807,2.0,0.0,0.27904986833316453,3.0,1,1,Titan,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,164.79205086447953,0.27,V-tail,yes,yes
5,16.0,1.4129639628523705,4.901059820945904,0.0,17.0,2.872684491978609,0.35,0.0,164.83524983953384,304.6231167017652,LowAcc,45.0,119068.04349397456,119068.04349397456,0.018933125793113726,0.3028,15.993133057307057,2.462858169280923,0.7388574507842768,0.07649737530045801,0.1496752397541722,0.15011253975754596,0.0794891304738411,1.8399384747381322,2.0,0.0,0.277308647776285,3.0,1,1,Titan,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,164.83524983953384,0.27,V-tail,yes,yes
6,24.0,1.6858318114528235,4.227270656274557,0.0,10.6,2.107559358288769,0.35,0.0,187.4998709731196,444.3086117934502,LowAcc,45.0,119068.04349397456,119068.04349397456,0.025382036407735786,0.28734,11.32060467427374,2.718473712924744,0.7283024304308027,0.16874264994073274,0.16371416024824442,0.15132959008127855,0.16727112918966966,2.718473712924744,3.0,0.0,0.3358316593254902,3.0,1,1,Titan,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,187.4998709731196,0.27,Conventional,yes,yes
7,25.0,1.673494346802153,4.3678181685533275,0.0,11.4,2.2032,0.35,0.0,184.3916861731435,428.21339228768903,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02447583185466784,0.28466,11.630248225688472,2.691543314116699,0.7214421004323782,0.18197167865095437,0.301013072936791,0.15214568577698304,0.18001423981883982,2.691543314116699,3.0,0.0,0.3289756831030665,3.0,1,1,Titan,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,184.3916861731435,0.27,Conventional,yes,yes
8,26.0,1.6477799089538068,4.483627425337262,0.0,12.2,2.2988406417112297,0.35,0.0,180.12330839167615,404.73306269808205,LowAcc,45.0,119068.04349397456,119068.04349397456,0.023231963260129287,0.28241,12.156097047754558,2.6602050536656123,0.7134588986311923,0.1916263330022908,0.35227966568950736,0.1507715251055028,0.18916872997090733,2.6602050536656123,3.0,0.0,0.3208131497764745,3.0,1,1,Titan,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,180.12330839167615,0.27,Conventional,yes,yes
9,28.0,1.6536887220829262,4.777123021730169,0.0,13.8,2.49012192513369,0.35,0.0,177.7991762421392,382.8160985465835,LowAcc,45.0,119068.04349397456,119068.04349397456,0.021599816129296137,0.27777,12.859831691958554,2.633522662216028,0.7066617467658955,0.2101611581730182,0.460297503482497,0.2118494908551143,0.20642528714242708,2.633522662216028,3.0,0.0,0.3136959489199664,3.0,1,1,Titan,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,177.7991762421392,0.27,Conventional,yes,yes
