,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,8.0,1.7106388372048507,4.258259230527354,0.0,10.6,2.107559358288769,0.35,0.0,190.8416148106236,455.0434414699255,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02570000134141091,0.28822,11.21478540686243,2.7389283203526964,0.7335130980463918,0.08449922867860245,0.0999286583306887,0.14963020622361922,0.08507134787971854,2.7389283203526964,3.0,0.0,3.0,0.3409469094700905,3.0,1,1,Titan,190.8416148106236,104.97638892093482,0.0,52.254400000000004,138.5872148106236,4.785633876121008,8.684294945567043,0.11915172590957511,0.4878942971589949,0.4287761472502718,19.074475261770328,0.016016071471227543,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
1,9.0,1.6160036864880805,4.292137232890407,0.0,11.4,2.2032,0.35,0.0,181.04708544688907,409.38818948312297,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024015684858337338,0.28944,12.052123506255844,2.676381816926431,0.7175798154830606,0.0872770695404144,0.10739740809161799,0.22615108991996719,0.0879254181640454,2.676381816926431,3.0,0.0,3.0,0.325052233042465,3.0,1,1,Titan,181.04708544688907,96.09591191565616,0.0,52.254400000000004,128.79268544688907,5.329946238390985,8.203129822505051,0.11342264566081985,0.5243599164932027,0.3988409823178155,18.095767183528718,0.016723177895971657,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
2,10.0,1.5222230951237536,4.309422439319426,0.0,12.2,2.2988406417112297,0.35,0.0,170.8115223089003,370.42020089295454,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022650735732857256,0.2899,12.798701261587269,2.6102207537237136,0.7007257491971326,0.0939802694114716,0.1148659863404859,0.2044722739983971,0.0946137325303775,2.6102207537237136,3.0,0.0,3.0,0.30734566540011843,3.0,1,1,Titan,170.8115223089003,86.702232521425,0.0,52.254400000000004,118.5571223089003,6.00488664785286,7.710554244804152,0.10696023808922239,0.5608246984324327,0.3664448918579297,17.07298803016678,0.017647471831592113,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
3,11.0,1.5918555850693215,4.549079314092158,0.0,13.0,2.394481283422459,0.35,0.0,173.30227029674774,376.2095923656438,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022041589353709822,0.29267,13.278080600423701,2.6203339596329323,0.703302017390329,0.09239888423360659,0.1223344256570543,0.15755828892004656,0.09330732099617556,2.6203339596329323,3.0,0.0,3.0,0.3101177084675786,3.0,1,1,Titan,173.30227029674774,88.1381256186681,0.0,52.254400000000004,121.04787029674775,6.683279040705276,7.792216035303032,0.11155914143212443,0.5972888020449666,0.37144986496621624,17.321876018787325,0.017492210400368927,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
4,12.0,1.5853278207640888,4.677341544782081,0.0,13.8,2.49012192513369,0.35,0.0,179.69057139361348,363.385837530077,LowAcc,45.0,119068.04349397456,119068.04349397456,0.021006791391824486,0.29283,13.939777595638182,2.5993009847634756,0.6979440147301552,0.09386392945565963,0.12885049570491272,0.14389769813401562,0.09485753340884029,2.5993009847634756,3.0,0.0,3.0,0.3043241925571466,3.0,1,1,Titan,179.69057139361348,85.15182199737919,0.0,52.254400000000004,119.3379358661543,7.374912791960958,7.713004861835135,0.11606491149959217,0.6291030330108027,0.36101797833930793,17.959605221625335,0.017821506063650856,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
5,13.0,1.7223144999616373,5.014557976476083,0.0,14.6,2.58576256684492,0.35,0.0,187.27987215828995,386.7179761805171,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020810023603405774,0.2884,13.858706049367497,2.6357344237551943,0.7072251774876109,0.12255875915336582,0.17304650343856506,0.14865222082782048,0.12242863195837236,2.6357344237551943,3.0,0.0,3.0,0.3142920354289884,3.0,1,1,Titan,187.27987215828995,90.32471415706003,0.0,52.254400000000004,126.53916507233748,8.11478385150437,7.996242969685478,0.12527416008452552,0.8448867780410481,0.37903360664735586,18.72237990101706,0.01726608385727582,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
6,14.0,1.687097497732841,5.097185641614964,0.0,15.4,2.68140320855615,0.35,0.0,181.74730413283598,364.2533484828863,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0197568108899232,0.28911,14.633434596848733,2.6002425412480576,0.6981838696332493,0.11166219521588985,0.16569904575059316,0.14968513658936128,0.11214691463906278,2.6002425412480576,3.0,0.0,3.0,0.3045858996732382,3.0,1,1,Titan,181.74730413283598,85.28550606047563,0.0,52.254400000000004,121.4247809353861,8.91468366849834,7.73432761384967,0.12224250893117303,0.8090133582987796,0.36148686036220307,18.16513107068716,0.017806229842808958,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
7,24.0,1.6371255911827105,4.165756986015475,0.0,10.6,2.107559358288769,0.35,0.0,182.53263281731276,426.4730940897516,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024932993304764114,0.28805,11.552965040301052,2.6895327930694832,0.720929934312931,0.07172560043661162,0.0899286583306887,0.14960300428030338,0.0726764097723766,2.6895327930694832,3.0,0.0,3.0,0.3284581013811709,3.0,1,1,Titan,182.53263281731276,97.96311367495234,0.0,52.254400000000004,130.27823281731276,4.7851842783352785,8.298508543364585,0.1118144665128117,0.43907003539972744,0.40518777709533554,18.244207881489537,0.01656259572280898,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0
8,25.0,1.5425996114347722,4.193523049937415,0.0,11.4,2.2032,0.35,0.0,172.9547066660577,387.49709543789805,LowAcc,45.0,119068.04349397456,119068.04349397456,0.023637554945107046,0.28966,12.254228522056142,2.6279565234454356,0.7052438119979975,0.07545095133208479,0.097397408091618,0.15001002774175587,0.07657250333351123,2.6279565234454356,3.0,0.0,3.0,0.3121907960860256,3.0,1,1,Titan,172.9547066660577,89.22039239538735,0.0,52.254400000000004,120.70030666605767,5.367491607409874,7.836247765661873,0.10632525308480134,0.4755356547339352,0.3752091247612269,17.28714252435874,0.017378776219542813,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0
9,26.0,1.5060404140104249,4.286454601524106,0.0,12.2,2.2988406417112297,0.35,0.0,169.75346111444767,365.06353528535567,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02249037017497085,0.2912,12.947763764425343,2.6040113862755256,0.6991439564401937,0.07848974845168888,0.10486598634048591,0.18572282296573323,0.07968145475157368,2.6040113862755256,3.0,0.0,3.0,0.3056312123636858,3.0,1,1,Titan,169.75346111444767,85.82061417634893,0.0,52.254400000000004,117.49906111444767,6.033099818941131,7.664352349514139,0.10604137900017334,0.5120004366731651,0.36336189493748966,16.967261896456257,0.01774559813608554,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0
